input/coarse.txt, 2, 0.1194714776e6
input/coarse.txt, 4, 0.867015317e5
input/coarse.txt, 8, 0.960822615e5
input/coarse.txt, 16, 0.970514487e5
input/coarse.txt, 32, 0.938843018e5
input/fine.txt, 2, 0.1529467956e6
input/fine.txt, 4, 0.1130582554e6
input/fine.txt, 8, 0.1155765425e6
input/fine.txt, 16, 0.1162103485e6
input/fine.txt, 32, 0.1151553671e6
input/fine.txt, 64, 0.1083943302e6
input/fine.txt, 128, 0.1104647715e6
input/fine.txt, 256, 0.1113139647e6
input/fine.txt, 512, 0.1084024366e6
input/fine.txt, 1024, 0.1127076353e6
input/fine.txt, 2048, 0.1074472171e6
input/fine.txt, 4096, 0.1061327508e6
