input/coarse.txt, 1, 206855.6973
input/coarse.txt, 2, 117310.47
input/coarse.txt, 4, 87664.9117
input/coarse.txt, 8, 102479.7932
input/coarse.txt, 16, 104508.8987
input/coarse.txt, 32, 105567.7099
input/fine.txt, 1, 241452.1199
input/fine.txt, 2, 142988.6898
input/fine.txt, 4, 104650.0222
input/fine.txt, 8, 114240.7707
input/fine.txt, 16, 115141.4162
input/fine.txt, 32, 107585.0706
input/fine.txt, 64, 109293.3923
input/fine.txt, 128, 114864.6937
input/fine.txt, 256, 103526.7239
input/fine.txt, 512, 118265.1925
input/fine.txt, 1024, 112330.9481
input/fine.txt, 2048, 119871.337
input/fine.txt, 4096, 112348.4316
